Challenge Stats Technology List;Challenge Stats Challenge Name;Challenge Stats Challenge Copilot;Challenge Stats Posting Date Date;Challenge Stats Project Category Name;Challenge Stats Registration End Date Date;Challenge Stats Scheduled End Date Date;Challenge Stats Status Desc;Challenge Stats Submitby Date Date;Challenge Stats First Place Prize;Challenge Stats Avg Raw Score;Challenge Stats Avg Final Score;Challenge Stats Num Registrations;Challenge Stats Num Submissions;Challenge Stats Num Submissions Passed Review;Challenge Stats Num Valid Submissions;Challenge Stats Total Prize
Elasticsearch,JavaScript,Node.js;[72h] Topcoder API - Add Elastic Search to TC Resource API;copilot-c;2019-11-13;Code;2019-11-16;2019-11-19;Completed;2019-11-16;400,00 US$;96,08;96,75;34;2;2;2;600,00 US$
QA;Test for Success Challenge Series - QA Challenge 49 (Regression Testing);copilot-j;2019-11-18;Code;2019-11-20;2019-11-26;Completed;2019-11-20;349,20 US$;28;28;59;25;9;25;3.087,50 US$
QA;Test for Success Challenge Series - QA Challenge 48 (Bug Hunt);copilot-j;2019-11-14;Code;2019-11-16;2019-11-25;Completed;2019-11-16;750,00 US$;61,25;61,25;43;8;8;8;1.916,50 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - prec56 Task, period #4;copilot-s;2019-11-11;Code;2019-11-25;2020-01-21;Active;2019-11-25;500,00 US$;0;0;72;36;36;36;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - temp56 Task, period #4;copilot-s;2019-11-11;Code;2019-11-25;2020-01-21;Active;2019-11-25;500,00 US$;0;0;64;36;36;36;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - prec34 Task, period #4;copilot-s;2019-11-11;Code;2019-11-25;2020-01-04;Completed;2019-11-25;500,00 US$;51,11;51,11;64;36;36;36;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - temp34 Task, period #4;copilot-s;2019-11-11;Code;2019-11-25;2020-01-04;Completed;2019-11-25;500,00 US$;51,11;51,11;67;36;36;36;1.375,00 US$
Other;Help Come Up With New Dashboard Widget Ideas;copilot-u;2019-11-11;Code;2019-11-16;2019-11-27;Completed;2019-11-16;200,00 US$;28,42;28,42;58;19;5;19;650,00 US$
0;[Do not register] Sample challenge for Automation.;copilot-v;2019-11-11;Code;2020-11-15;2020-11-20;Active;2020-11-17;10,00 US$;0;0;14;4;4;4;15,00 US$
0;Sample Challenge for Automation;copilot-v;2019-11-12;Code;2019-11-14;2019-11-20;Draft;2019-11-17;350,00 US$;0;0;0;0;0;0;500,00 US$
CSS,JavaScript;Juno ZIO Mobile - Front End Development (Flutter);copilot-i;2019-11-14;Code;2019-11-18;2019-11-24;Cancelled - Failed Review;2019-11-19;1.200,00 US$;61;64,17;61;2;0;2;1.800,00 US$
QA;Test Scenarios and Test Case Summaries - My Profile and Settings Pages ;copilot-o;2019-11-07;Code;2019-11-09;2019-11-22;Completed;2019-11-13;900,00 US$;64,54;64,54;48;11;11;11;1.350,00 US$
API,Docker,Express,Heroku,Node.js,PostgreSQL;72 hours!! - Topcoder Arena 3.0 - SRM problem fetching API implementation;copilot-f;2019-11-06;Code;2019-11-10;2019-11-13;Completed;2019-11-10;800,00 US$;71,99;75,11;37;5;3;5;1.200,00 US$
0; Identify The Cause Of An Error;copilot-u;2019-11-07;Code;2019-11-09;2019-11-15;Draft;2019-11-12;350,00 US$;0;0;0;0;0;0;500,00 US$
REST;API Gateway Design Ideation;Copilot-l;2019-11-08;Code;2019-11-15;2019-11-20;Completed;2019-11-15;1.000,00 US$;64,28;64,28;55;7;7;7;2.400,00 US$
Java;Orientdb Spring Data Plugin - Spring REST Support and Demo;Copilot-b;2019-11-05;Code;2019-11-07;2019-11-12;Completed;2019-11-10;800,00 US$;93,67;93,67;41;1;1;1;1.200,00 US$
Node.js,ReactJS;Topcoder Challenge Engine UI - November 2019 updates;Copilot-m;2019-11-06;Code;2019-11-08;2019-11-15;Completed;2019-11-11;650,00 US$;85,95;86,45;45;4;3;4;975,00 US$
Database,Node.js;Topcoder - Update legacy challenge migration script (Resource);copilot-c;2019-11-06;Code;2019-11-09;2019-11-15;Completed;2019-11-11;600,00 US$;94,72;97,61;31;3;3;3;900,00 US$
QA;Topcoder - Test Case creation - Series 3 (Challenge Details, Submission and View Submission Page);copilot-w;2019-11-05;Code;2019-11-07;2019-11-13;Completed;2019-11-09;600,00 US$;66,87;68,12;58;8;8;8;900,00 US$
Node.js,Other;[72h] Topcoder APIs and Zapier integration;copilot-c;2019-11-02;Code;2019-11-05;2019-11-08;Completed;2019-11-05;800,00 US$;76,58;77,83;58;8;6;8;1.200,00 US$
.NET,C#,QA,Selenium;ABB RCS Automation Testing - Drag & Drop automation implementation for Sprint 1;copilot-f;2019-11-02;Code;2019-11-08;2019-11-24;Cancelled - Zero Submissions;2019-11-08;850,00 US$;0;0;39;0;0;0;1.275,00 US$
QA;Exploratory Testing for  suite of service website;copilot-v;2019-10-31;Code;2019-11-01;2019-11-07;Completed;2019-11-04;600,00 US$;29,6;30;49;25;19;25;1.100,00 US$
0;Thor EAT Phase 2 Bug Fixes Challenge;copilot-u;2019-11-01;Code;2019-11-03;2019-11-09;Draft;2019-11-06;350,00 US$;0;0;0;0;0;0;500,00 US$
0;Thor EAT Phase 2 Code Quality Challenge;copilot-u;2019-11-01;Code;2019-11-03;2019-11-09;Draft;2019-11-06;350,00 US$;0;0;0;0;0;0;500,00 US$
0;Thor EAT Phase 2 Frontend Code Updates Part 2 Challenge;copilot-u;2019-11-01;Code;2019-11-03;2019-11-09;Draft;2019-11-06;350,00 US$;0;0;0;0;0;0;500,00 US$
0;Thor EAT Phase 2 Backend Code Updates Part 2 Challenge;copilot-u;2019-11-01;Code;2019-11-03;2019-11-09;Draft;2019-11-06;350,00 US$;0;0;0;0;0;0;500,00 US$
0;Thor EAT Phase 2 Frontend Code Updates Part 1 Challenge;copilot-u;2019-11-01;Code;2019-11-03;2019-11-09;Draft;2019-11-06;350,00 US$;0;0;0;0;0;0;500,00 US$
API,Java,Maven,SQL Server,Spring;Thor EAT Phase 2 Backend Code Updates Part 1 Challenge;copilot-u;2019-11-06;Code;2019-11-08;2019-11-15;Completed;2019-11-12;2.000,00 US$;75,04;88,48;46;2;2;2;3.000,00 US$
AWS,Node.js;Amazon Alexa Skill | Movie ticket booking experience showcase;copilot-d;2019-10-31;Code;2019-11-02;2019-11-05;Completed;2019-11-02;800,00 US$;87,33;87,55;43;3;2;3;1.200,00 US$
QA;MyWellmark Accessibility Bug Hunt ;copilot-a;2019-10-30;Code;2019-11-01;2019-11-02;Completed;2019-11-01;300,00 US$;65;65;32;8;8;8;600,00 US$
Node.js;24h - Build a NodeJs data comparison tool;copilot-n;2019-10-30;Code;2019-10-31;2019-11-01;Completed;2019-10-31;600,00 US$;91,23;91,31;47;17;17;17;1.000,00 US$
QA;Test for Success Challenge Series - QA Challenge 47 (Regression Testing);copilot-j;2019-11-04;Code;2019-11-06;2019-11-15;Completed;2019-11-07;439,00 US$;28,75;28,75;53;24;9;24;2.725,70 US$
QA;Test for Success Challenge Series - QA Challenge 46 (Bug Hunt);copilot-j;2019-11-01;Code;2019-11-03;2019-11-13;Completed;2019-11-03;750,00 US$;70;70;31;7;7;7;1.909,50 US$
.NET,Database,Entity-Framework,Other;NextGen Imaging - Unified Model Technical Design Challenge;copilot-u;2019-10-29;Code;2019-11-01;2019-11-07;Cancelled - Failed Review;2019-11-03;2.000,00 US$;34;34;41;2;0;2;3.500,00 US$
0;Hercules C++ Spark App - Webkit reduction;Copilot-m;2019-10-29;Code;2019-11-03;2019-11-07;Draft;2019-11-03;2.700,00 US$;0;0;0;0;0;0;4.050,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - prec56 Task, period #3;copilot-s;2019-10-28;Code;2019-11-11;2020-01-04;Completed;2019-11-11;500,00 US$;52,28;52,28;71;35;35;35;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - temp56 Task, period #3;copilot-s;2019-10-28;Code;2019-11-11;2020-01-04;Completed;2019-11-11;500,00 US$;52,28;52,28;61;35;35;35;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - prec34 Task, period #3;copilot-s;2019-10-28;Code;2019-11-11;2019-12-23;Completed;2019-11-11;500,00 US$;52,28;52,28;59;35;35;35;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - temp34 Task, period #3;copilot-s;2019-10-28;Code;2019-11-11;2019-12-23;Completed;2019-11-11;500,00 US$;52,28;52,28;61;35;35;35;1.375,00 US$
.NET,IIS,Other;NextGen Imaging - Error Document Analysis Challenge;copilot-u;2019-10-29;Code;2019-10-31;2019-11-07;Cancelled - Zero Submissions;2019-11-03;2.000,00 US$;0;0;42;0;0;0;3.500,00 US$
API,JavaScript,Node.js;72 hours!! - Topbot - MS Team bot Connect Integration;copilot-f;2019-10-26;Code;2019-10-29;2019-10-31;Completed;2019-10-29;400,00 US$;82,65;85,93;23;2;1;2;600,00 US$
JavaScript,ReactJS;Topcoder Community App: Marathon Match UI Enhancements - Part 1;copilot-i;2019-11-22;Code;2019-11-26;2019-11-29;Cancelled - Failed Review;2019-11-26;1.000,00 US$;66,67;73,67;27;1;0;1;1.500,00 US$
Java;96Hrs - Spring Data Plugin for OrientDB Part2 - Add Query Support;Copilot-b;2019-10-26;Code;2019-10-28;2019-11-02;Completed;2019-10-31;1.400,00 US$;87,5;89,28;34;2;2;2;2.100,00 US$
Node.js;Topcoder v5 Challenge API | Nodejs based Wrapper - Part 1;copilot-d;2019-10-26;Code;2019-10-29;2019-11-01;Completed;2019-10-29;1.000,00 US$;91,88;93,59;34;6;6;6;1.500,00 US$
Node.js,Protractor,QA,TypeScript;REPOST- Topcoder community app - E2E Tests Series 1;copilot-v;2019-10-26;Code;2019-10-28;2019-11-02;Completed;2019-10-30;1.200,00 US$;83,12;90,12;30;3;3;3;1.800,00 US$
Node.js,Other;Legacy Submission Processor | Reviews and Review Summations;copilot-d;2019-10-26;Code;2019-10-29;2019-10-30;Completed;2019-10-29;1.000,00 US$;90,25;90,25;21;1;1;1;1.500,00 US$
Node.js,Protractor,QA,TypeScript;Topcoder community app - E2E Tests series 2;copilot-v;2019-10-26;Code;2019-10-28;2019-11-03;Completed;2019-10-31;1.400,00 US$;80,45;82,91;37;4;2;4;2.100,00 US$
Angular 2+,HTML,JavaScript,Less;[48hr]MyWellmark Member Portal Accessibility Fixes Part 1;copilot-a;2019-10-24;Code;2019-10-26;2019-10-28;Completed;2019-10-26;400,00 US$;35,33;35,33;33;3;1;3;600,00 US$
Salesforce;Salesforce - Customer story LWC;Copilot-g;2019-10-27;Code;2019-10-31;2019-11-02;Completed;2019-10-31;800,00 US$;88,83;89,5;22;2;2;2;1.200,00 US$
Python;Repost - Monthly Country Report - Part2;Copilot-b;2019-10-24;Code;2019-10-29;2019-10-30;Completed;2019-10-29;1.000,00 US$;54;55,66;36;2;1;2;1.500,00 US$
Python;Monthly Country Report - Part4;Copilot-b;2019-10-24;Code;2019-10-26;2019-10-31;Completed;2019-10-30;1.000,00 US$;49,33;49,33;33;2;1;2;1.500,00 US$
QA;Electrolux Exploratory Website Testing Challenge;copilot-o;2019-10-23;Code;2019-10-24;2019-10-30;Completed;2019-10-26;600,00 US$;57,22;57,22;40;18;18;18;1.100,00 US$
Python;Technology Evaluation - Python 3 TCP/WebSocket Library;copilot-x;2019-10-28;Code;2019-11-03;2019-11-06;Completed;2019-11-03;800,00 US$;64,44;64,44;65;9;9;9;1.200,00 US$
Salesforce;Salesforce - User Queue Management LWC;Copilot-g;2019-10-23;Code;2019-10-27;2019-10-28;Completed;2019-10-27;800,00 US$;80,67;86,67;26;1;1;1;1.200,00 US$
JSON,JavaScript,REST,TypeScript;96H Remote Resource VSCode Extension Development;Copilot-l;2019-10-22;Code;2019-10-26;2019-10-28;Completed;2019-10-26;2.000,00 US$;77,8;79,23;43;5;3;5;3.000,00 US$
Python;Thor Functional Test Migration - Challenge 1;Copilot-m;2019-10-22;Code;2019-10-29;2019-11-02;Completed;2019-10-29;1.000,00 US$;10;0;26;1;1;1;1.500,00 US$
QA;Test Scenario and Test Case Summaries Creation for Topcoder - Series 2;copilot-w;2019-10-22;Code;2019-10-24;2019-10-28;Completed;2019-10-25;600,00 US$;55;55;31;9;8;9;900,00 US$
.NET,C#,QA,Selenium;ABB RCS Automation Testing - Automated testing implementation and report generation - Sprint 1;copilot-f;2019-10-21;Code;2019-10-27;2019-10-29;Completed;2019-10-27;1.200,00 US$;79,72;80,97;32;1;1;1;1.800,00 US$
Node.js,Other,TypeScript;Topcoder Workflow Extension | Clone Repository enhancements;copilot-d;2019-10-21;Code;2019-10-24;2019-10-27;Completed;2019-10-24;700,00 US$;91,77;93,37;27;6;6;6;1.050,00 US$
Gitlab,JavaScript,PostgreSQL,Ruby,Ruby on Rails;Gitlab Post Review - Frontend Update;copilot-c;2019-10-21;Code;2019-10-25;2019-10-27;Completed;2019-10-26;1.200,00 US$;100;100;26;1;1;1;1.800,00 US$
Apache Kafka,MongoDB,Node.js;Topcoder Leaderboards | Update existing apps;copilot-d;2019-10-20;Code;2019-10-23;2019-10-26;Completed;2019-10-23;1.000,00 US$;88,76;88,76;32;5;4;5;1.500,00 US$
Apache Kafka,MongoDB,Node.js;Topcoder Leaderboards | Update existing apps;copilot-d;2019-10-21;Code;2019-10-23;2019-10-29;Cancelled - Client Request;2019-10-26;1.000,00 US$;0;0;0;0;0;0;1.500,00 US$
API,Docker,Java,MongoDB,MySQL,PostgreSQL,Spring;Topcoder - Build a Java API starter pack;copilot-n;2019-10-19;Code;2019-10-22;2019-10-25;Completed;2019-10-22;600,00 US$;88,09;93,88;47;9;9;9;900,00 US$
Docker,Other,Python;AWS Architecture Ideation and Cost Estimates;copilot-y;2019-10-19;Code;2019-10-26;2019-11-06;Completed;2019-10-30;2.400,00 US$;80;80;51;3;3;3;4.950,00 US$
API,Docker,MongoDB,MySQL,PostgreSQL,Python;Topcoder - Build a Python API starter pack;copilot-n;2019-10-18;Code;2019-10-21;2019-10-24;Completed;2019-10-21;600,00 US$;77,86;82,23;39;5;3;5;900,00 US$
C++;Hercules C++ Spark App - Webkit reduction;Copilot-m;2019-10-18;Code;2019-10-24;2019-10-27;Cancelled - Zero Submissions;2019-10-24;2.500,00 US$;0;0;27;0;0;0;3.750,00 US$
API,AWS,Node.js,Swagger;Topbot - Central TC Lambda implementation;copilot-f;2019-10-17;Code;2019-10-22;2019-10-25;Completed;2019-10-22;600,00 US$;94,83;95,83;20;1;1;1;900,00 US$
.NET,ASP.NET Core ,C#,Docker,MongoDB,PostgreSQL,SQL Server;Topcoder - Build a C# API starter pack;copilot-n;2019-10-17;Code;2019-10-20;2019-10-23;Completed;2019-10-20;600,00 US$;75,83;77,7;23;4;2;4;900,00 US$
Node.js,Protractor,QA,TypeScript;Topcoder community app - E2E Tests;copilot-v;2019-10-17;Code;2019-10-19;2019-10-26;Cancelled - Failed Review;2019-10-23;600,00 US$;70,81;72,94;30;1;0;1;900,00 US$
Salesforce;FAST - Salesforce Einstein Dashboard Exploratory Challenge;Copilot-g;2019-10-17;Code;2019-10-20;2019-10-27;Completed;2019-10-20;600,00 US$;95;95;19;2;2;2;900,00 US$
JavaScript,ReactJS;[72 hrs] Topcoder Community App: Submissions  Tab Sorting Enhancements;copilot-i;2019-10-21;Code;2019-10-24;2019-10-28;Completed;2019-10-24;500,00 US$;88,15;88,3;29;3;2;3;750,00 US$
Angular 2+,SCSS,TypeScript;360dial - Menu Navigation Angular Component Development;copilot-f;2019-10-16;Code;2019-10-21;2019-10-25;Completed;2019-10-21;1.200,00 US$;73,99;74,54;48;8;5;8;1.800,00 US$
Elasticsearch,Java;Topcoder Member Profile - Search member by skill and handle;copilot-i;2019-10-16;Code;2019-10-18;2019-10-24;Completed;2019-10-21;600,00 US$;82,52;85,64;36;2;2;2;900,00 US$
QA;Test for Success Challenge Series - QA Challenge 45 (Regression Testing);copilot-j;2019-10-21;Code;2019-10-24;2019-10-31;Completed;2019-10-24;487,90 US$;27,3;27,3;50;26;9;26;2.935,65 US$
Data Science,Python;Phase 2 Conflict World Prediction Challenge;copilot-h;2019-10-16;Code;2019-11-06;2019-11-21;Completed;2019-11-07;5.000,00 US$;75;75;76;6;6;6;10.000,00 US$
Data Science,Python;Phase 2 Urban World Prediction Challenge;copilot-h;2019-10-16;Code;2019-11-06;2019-11-22;Cancelled - Client Request;2019-11-09;5.000,00 US$;0;0;60;1;1;1;10.000,00 US$
Angular 2+,Node.js;Thor Power Xpert Polymer Upgrade Code Challenge;copilot-u;2019-10-24;Code;2019-11-03;2019-11-06;Cancelled - Zero Submissions;2019-11-03;2.000,00 US$;0;0;36;0;0;0;3.000,00 US$
ASP.NET Core ,CSS,HTML,JavaScript,Other;Hoherberg Ski School Priority Bug Fixes Part 10 Code Challenge;copilot-u;2019-10-16;Code;2019-10-18;2019-11-01;Cancelled - Zero Submissions;2019-10-22;1.200,00 US$;0;0;25;0;0;0;1.800,00 US$
Python;Repost - Monthly Country Report - Part2;Copilot-b;2019-10-18;Code;2019-10-20;2019-10-25;Cancelled - Failed Review;2019-10-23;1.000,00 US$;0;3;52;2;0;2;1.500,00 US$
Python;Monthly Country Report - Part3;Copilot-b;2019-10-18;Code;2019-10-20;2019-10-27;Cancelled - Failed Review;2019-10-24;1.000,00 US$;38,16;44,25;35;2;0;2;1.500,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - prec56 Task, period #2;copilot-s;2019-10-14;Code;2019-10-28;2019-12-23;Completed;2019-10-28;500,00 US$;52,28;52,28;65;35;35;35;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - temp56 Task, period #2;copilot-s;2019-10-14;Code;2019-10-28;2019-12-23;Completed;2019-10-28;500,00 US$;52,28;52,28;56;35;35;35;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - prec34 Task, period #2;copilot-s;2019-10-14;Code;2019-10-28;2019-12-19;Completed;2019-10-28;500,00 US$;52,35;52,35;57;34;34;34;1.375,00 US$
Data Science;Rodeo II Sprint: Sub-Seasonal Climate Forecasting - temp34 Task, period #2;copilot-s;2019-10-14;Code;2019-10-28;2019-12-19;Completed;2019-10-28;500,00 US$;52,28;52,28;61;35;35;35;1.375,00 US$
Java,Maven;REPOST - Spring Data Plugin for OrientDB Part1;Copilot-b;2019-10-14;Code;2019-10-19;2019-10-23;Cancelled - Failed Review;2019-10-20;1.400,00 US$;49,94;49,94;33;1;0;1;2.100,00 US$
ASP.NET Core ,CSS,HTML5,JavaScript;Hoherberg Ski School Priority Bug Fixes Part 8 Code Challenge;copilot-u;2019-10-14;Code;2019-10-20;2019-10-22;Completed;2019-10-20;1.200,00 US$;91,15;96,32;34;3;3;3;1.800,00 US$
Salesforce;Salesforce LWC development - Scale up challenge;Copilot-g;2019-10-14;Code;2019-10-18;2019-10-20;Completed;2019-10-18;400,00 US$;88,66;88,66;31;4;4;4;900,00 US$
Other;IN PERSON TCO19 - Shell GameChanger Hackathon;copilot-i;2019-10-18;Code;2019-11-16;2019-11-19;Completed;2019-11-15;10.000,00 US$;35,55;40;43;8;3;8;23.000,00 US$
Node.js,PostgreSQL;Migrate from Informix to Postgres & Build Docker.;;2019-10-11;Code;2019-10-15;2019-10-20;Completed;2019-10-17;500,00 US$;88,93;90,4;34;5;5;5;750,00 US$
Node.js;Topcoder-X - October 2019 Release Challenge;Copilot-m;2019-10-09;Code;2019-10-14;2019-10-17;Completed;2019-10-14;700,00 US$;84,94;84,94;42;3;2;3;1.050,00 US$
Data Science,Python;Phase 2 Power World Prediction Challenge;Copilot-m;2019-10-16;Code;2019-11-06;2019-11-22;Completed;2019-11-09;5.000,00 US$;80;80;66;5;5;5;10.000,00 US$
Data Science,Python;Phase 2 Disaster World Prediction Challenge;Copilot-m;2019-10-16;Code;2019-11-06;2019-11-19;Completed;2019-11-07;5.000,00 US$;68,33;68,33;67;6;6;6;10.000,00 US$
API,Database,Swagger;[72h] Poseidon LPC - API and Database Design;copilot-c;2019-11-26;Code;2019-11-29;2019-12-02;Completed;2019-11-29;600,00 US$;60;72,5;35;2;1;2;900,00 US$
JSON,Node.js,ReactJS;Thor DC Starter App Code Quality Enhancements Code Challenge;copilot-u;2019-10-13;Code;2019-10-15;2019-10-21;Completed;2019-10-18;1.800,00 US$;92,18;92,33;52;3;3;3;2.700,00 US$
Other;SIA - Smart Investment Advisor - QA Fixes;copilot-z;2019-11-11;Code;2019-11-18;2019-11-21;Draft;2019-11-18;1.400,00 US$;0;0;0;0;0;0;2.100,00 US$
